Colli_Rpt_Num_Colli_Rpt_Num,hitrun,colli_dt,obj_struck,ped,cyclist,cite_simple,type,pedtype,year,hour,tod,cite_for_dui,cite_for_homicide,cite_for_speed,PLACE
EA27317,FALSE,3/31/2020 8:56:00 PM,"LIGHT POLE, STREET SIGNS,",FALSE,FALSE,DUI,Car Only,NA,2020,20,night 1800-0559,TRUE,FALSE,FALSE,City of Bremerton
EA27318,FALSE,4/1/2020 4:27:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA27337,FALSE,3/28/2020 11:18:00 PM,ROADWAY DITCH,FALSE,FALSE,SPEED/TOO FAST,Car Only,NA,2020,23,night 1800-0559,FALSE,FALSE,TRUE,City of Port Orchard
EA27338,FALSE,3/31/2020 6:23:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,18,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
EA27404,TRUE,4/2/2020 4:36:00 PM,EARTH BANK OR LEDGE,FALSE,FALSE,,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA27455,FALSE,3/25/2020 10:39:00 AM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,10,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
EA27456,FALSE,3/31/2020 5:03:00 PM,ROADWAY DITCH,FALSE,FALSE,SPEED/TOO FAST,Car Only,NA,2020,17,day 0600-1759,FALSE,FALSE,TRUE,Silverdale UGA
EA27457,FALSE,4/1/2020 3:14:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
EA27465,FALSE,3/30/2020 3:11:00 PM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,Puget Sound Industrial Center - Bremerton
EA27569,FALSE,4/3/2020 8:33:00 AM,NA,FALSE,FALSE,FAIL TO OBEY TRAFFIC SIGN/DEVICE/RED LIGHT,Car Only,NA,2020,8,day 0600-1759,FALSE,FALSE,FALSE,Silverdale UGA
EA27925,FALSE,4/1/2020 3:35:00 PM,GUARDRAIL,FALSE,FALSE,NO INSURANCE,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,Other
EA27926,FALSE,3/18/2020 3:30:00 PM,NA,FALSE,FALSE,HIT AND RUN,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,Other
EA28063,FALSE,4/7/2020 11:41:00 AM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,11,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA28096,FALSE,4/2/2020 10:05:00 PM,"GUARDRAIL, MAILBOXES, DITCH",FALSE,FALSE,DUI,Car Only,NA,2020,22,night 1800-0559,TRUE,FALSE,FALSE,Other
EA28205,FALSE,4/8/2020 7:13:00 AM,NA,FALSE,FALSE,,Car Only,NA,2020,7,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA28206,FALSE,4/8/2020 7:10:00 PM,BUILDING,FALSE,FALSE,,Car Only,NA,2020,19,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton
EA28454,FALSE,4/9/2020 4:12:00 PM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
